RespondentID,SouthernID,HowManySouthernStates ,Male,Age,HouseholdIncome,Education
3188419328,2,16,1,2,3,5
3188403262,3,10,0,4,4,3
3188382380,2,11,0,2,3,4
3188378957,3,8,0,2,5,4
3188374818,0,10,0,4,5,5
3188364965,0,10,0,2,3,4
3188353240,1,10,0,2,5,5
3188350799,0,14,0,2,4,5
3188350509,2,13,1,3,3,4
3188347745,3,12,1,3,3,3
3188343984,0,4,0,4,2,4
3188336680,0,2,0,2,3,2
3188326622,2,5,1,1,1,5
3188315333,1,11,1,2,3,4
3188314604,0,11,0,2,5,3
3188314566,3,1,0,2,3,3
3188312015,2,9,1,2,2,5
3188294595,0,9,0,2,3,3
3188294271,1,14,1,1,5,2
3188281231,1,12,1,2,2,3
3188280958,0,9,1,3,5,4
3188259001,0,14,0,2,4,3
3188258831,2,6,0,2,3,2
3188254096,2,13,1,1,4,5
3188252195,2,13,,,,
3188251713,0,7,1,3,1,1
3188236010,3,9,0,2,3,3
3188210079,0,7,0,2,4,3
3188209855,2,11,0,2,2,2
3188203081,3,11,0,4,2,3
3188202066,0,13,0,4,4,3
3188196224,0,10,1,3,,
3188190658,1,14,0,4,3,2
3188169844,3,13,1,4,5,5
3188167607,1,9,0,2,3,4
3188166755,2,10,0,2,3,4
3188144396,3,15,0,2,3,3
3188139621,3,4,0,4,3,3
3188138098,1,1,0,4,2,5
3188137514,3,8,1,3,,
3188136018,0,12,1,1,3,3
3188112161,3,10,0,4,5,4
3188109726,2,14,0,3,3,5
3188096185,3,14,1,2,3,5
3188093621,2,10,0,3,2,4
3188090335,3,9,0,3,3,5
3188088074,1,3,0,2,5,
3188081624,3,12,1,3,5,2
3188078084,3,11,0,3,5,4
3188076732,2,11,0,4,5,3
3188076405,3,6,0,4,1,2
3188076372,0,6,0,3,4,3
3188069383,2,9,0,4,5,5
3188069330,2,8,0,4,3,3
3188046171,3,10,1,4,5,4
3188034354,0,9,0,4,5,3
3188033448,0,4,1,3,5,5
3188031461,2,7,0,2,3,3
3188031409,3,6,0,3,2,
3188021836,1,15,0,3,4,3
3188017723,2,10,1,2,2,4
3188016770,1,6,0,3,5,4
3188014406,0,11,0,2,3,4
3188004946,2,13,1,1,5,3
3188004569,0,9,0,1,2,5
3188004350,3,12,0,3,2,3
3187988192,0,9,0,2,4,4
3187987302,3,8,0,3,1,4
3187985701,3,5,0,3,5,4
3187972798,2,10,0,1,2,4
3187969133,0,10,0,2,4,5
3187968692,3,10,1,1,5,4
3187968591,2,10,1,2,5,4
3187965708,0,12,0,4,3,5
3187965335,0,8,1,1,5,2
3187964082,0,8,1,4,4,5
3187962743,3,13,1,3,2,3
3187962326,0,10,0,1,2,5
3187960487,0,9,0,4,2,2
3187958060,3,10,1,3,3,4
3187957538,1,5,0,2,2,5
3187956801,3,12,0,1,,4
3187945764,3,13,0,3,5,4
3187932503,2,13,0,3,3,3
3187929631,1,10,1,1,5,5
3187926097,3,5,0,2,2,3
3187925524,3,12,0,4,2,2
3187924434,2,5,0,4,5,3
3187921514,2,7,0,1,1,3
3187920142,3,11,,,,
3187917406,0,7,0,3,3,5
3187911209,1,13,0,1,2,5
3187902836,3,7,0,3,5,3
3187899098,1,10,0,1,3,4
3187897400,2,5,0,3,1,3
3187890794,2,11,0,4,5,4
3187890617,0,9,0,1,2,4
3187889820,1,9,1,4,4,4
3187887117,3,10,1,3,1,3
3187883303,0,4,0,2,3,3
3187881558,3,11,1,2,3,5
3187878428,2,14,0,2,2,3
3187877202,2,8,1,2,2,4
3187876057,2,12,1,3,2,3
3187874424,3,10,0,4,3,5
3187872928,2,9,0,4,5,5
3187866473,3,5,1,3,3,3
3187855890,3,5,0,3,3,5
3187854581,1,5,0,2,3,3
3187843812,1,10,1,4,5,4
3187841207,3,10,0,3,5,2
3187836442,1,11,0,3,5,4
3187831552,0,13,1,4,5,5
3187830847,2,13,1,1,3,4
3187825218,1,5,0,2,3,5
3187823927,0,8,1,3,5,3
3187819582,3,5,0,4,3,4
3187812937,0,14,0,4,3,4
3187806441,3,13,1,2,5,4
3187805691,2,11,1,1,3,4
3187805061,2,8,,,,
3187798115,2,5,0,4,5,4
3187796440,0,10,1,2,3,4
3187792431,3,6,0,4,5,4
3187791065,1,13,0,4,4,4
3187790282,1,5,0,4,3,3
3187785573,3,9,0,1,2,3
3187785362,2,13,0,3,4,4
3187783547,0,7,1,3,5,4
3187783395,2,12,0,2,2,4
3187780830,3,9,1,3,3,5
3187779943,3,13,0,4,,4
3187778651,2,8,1,2,3,3
3187776963,0,10,0,2,2,5
3187774832,1,10,1,3,5,4
3187773706,2,7,1,4,2,4
3187766333,0,11,0,3,4,3
3187761902,0,12,0,1,4,4
3187761389,3,9,1,3,5,4
3187759503,3,8,0,3,3,4
3187753648,3,6,0,3,3,5
3187745142,3,11,0,1,2,4
3187741082,1,11,,,,
3187737593,3,8,0,4,5,5
3187731025,3,7,0,4,2,3
3187727037,1,5,0,2,4,4
3187726655,3,8,0,1,3,4
3187708990,2,11,0,1,2,3
3187699025,1,6,0,4,4,5
3187684834,3,7,1,2,5,3
3187682697,0,14,1,3,3,4
3187680151,3,1,,,,
3187679120,2,7,1,3,3,4
3187667000,2,13,0,2,1,4
3187648233,2,12,0,4,3,4
3187645388,2,14,1,4,3,3
3187641111,2,10,0,4,2,3
3187640548,0,11,0,1,1,3
3187635216,2,4,0,2,2,2
3187633528,3,10,1,3,2,2
3187632562,0,10,0,4,5,3
3187627231,3,9,0,4,1,3
3187625279,2,11,1,3,4,5
3187623950,2,11,1,3,3,3
3187588159,1,8,0,4,2,3
3187568762,2,9,0,1,3,4
3187564636,3,14,0,4,2,5
3187564265,3,12,1,3,3,4
3187555276,3,9,,,,
3187552980,3,8,0,3,1,4
3187519434,3,6,0,4,5,1
3187499747,3,25,1,2,2,2
3187452120,0,5,0,4,2,2
3187443754,1,12,,,,
3187433266,3,1,1,3,2,4
3187416333,2,10,1,3,5,5
3187415287,2,13,1,4,3,5
3187414222,1,7,1,2,3,3
3187402286,2,5,0,1,2,4
3187394011,0,5,0,1,2,3
3187393204,0,8,1,1,3,3
3187387429,3,7,1,4,3,4
3187386776,3,11,1,3,3,5
3187385612,3,5,1,1,2,5
3187381875,1,5,1,2,3,5
3187376426,3,5,0,4,2,3
3187371378,3,10,,,,
3187370573,3,10,0,4,1,3
3187356163,0,13,,,,
3187352402,0,10,,,,
3187344703,1,12,0,1,5,3
3187342311,2,5,0,2,5,3
3187341765,0,14,1,1,5,2
3187338405,0,11,1,2,3,4
3187337288,2,1,1,1,5,2
3187330099,3,10,0,4,2,3
3187327067,3,12,0,1,2,3
3187323667,2,14,1,4,3,4
3187320124,3,11,1,3,3,3
3187317627,1,6,1,3,2,4
3187315613,2,13,1,1,3,5
3187312350,0,10,0,4,5,5
3187308673,2,7,1,1,5,4
3187307460,3,13,1,1,1,3
3187305110,2,3,1,2,,
3187298065,2,6,0,3,2,3
3187297055,2,10,1,1,2,3
3187292844,3,19,0,4,1,3
3187292771,0,12,1,1,5,4
3187291731,3,10,0,4,5,5
3187291335,2,11,0,4,3,5
